num_estacion,nombre,tipo,alcaldia_municipio,estado_ciudad,longitud,latitud,linea_id,linea_nombre
22,Río de los Remedios Metro/Periférico,Transbordo,Ecatepec de Morelos,EDOMEX,-99.0466020294544,19.4911807713892,73,Periférico Interior Norte
23,Valle de San Lorenzo,Intermedia,Nezahualcóyotl,EDOMEX,-99.0388115288086,19.4873294113852,73,Periférico Interior Norte
24,Colonias de Aragón,Terminal / Transbordo,Nezahualcóyotl,EDOMEX,-99.0316621504572,19.4793309527282,73,Periférico Interior Norte
1,Colonias de Aragón,Terminal / Transbordo,Nezahualcóyotl,EDOMEX,-99.0316621504572,19.4793309527282,74,Periférico Interior Oriente
2,FES Aragón,Transbordo,Nezahualcóyotl,EDOMEX,-99.0356457017992,19.4730405471889,74,Periférico Interior Oriente
3,Pirules,Intermedia,Nezahualcóyotl,EDOMEX,-99.0373166530742,19.4666123777387,74,Periférico Interior Oriente
4,Peñón Texcoco/Periférico,Intermedia,Nezahualcóyotl,EDOMEX,-99.0383847433583,19.4571699263318,74,Periférico Interior Oriente
5,Alameda Oriente,Intermedia,Venustiano Carranza,CDMX,-99.0522269700144,19.4297107907808,74,Periférico Interior Oriente
6,Ciudad Nezahualcóyotl,Intermedia,Nezahualcóyotl,EDOMEX,-99.0554993142479,19.4223645933323,74,Periférico Interior Oriente
7,Av Pantitlán,Intermedia,Iztacalco,CDMX,-99.0567857536576,19.4119961559513,74,Periférico Interior Oriente
8,Valesquillo,Intermedia,Iztapalapa,CDMX,-99.0575875865377,19.4046000958895,74,Periférico Interior Oriente
9,Canal de San Juan/Periférico,Transbordo,Iztapalapa,CDMX,-99.0579318907728,19.3983599751904,74,Periférico Interior Oriente
10,Constitución de Apatzingán,Intermedia,Iztapalapa,CDMX,-99.0599752608567,19.3896460289669,74,Periférico Interior Oriente
11,Canal de Tezontle,Intermedia,Iztapalapa,CDMX,-99.0606372559403,19.3820692425108,74,Periférico Interior Oriente
12,Leyes de Reforma,Intermedia,Iztapalapa,CDMX,-99.0601250788034,19.3767183843786,74,Periférico Interior Oriente
13,Luis Méndez,Intermedia,Iztapalapa,CDMX,-99.0574385618996,19.3633810991953,74,Periférico Interior Oriente
14,Revolución Social,Intermedia,Iztapalapa,CDMX,-99.0596560450222,19.3535104905475,74,Periférico Interior Oriente
15,Constitución de 1917/Periférico,Transbordo,Iztapalapa,CDMX,-99.0626549863211,19.3450857602017,74,Periférico Interior Oriente
16,5 de Mayo,Intermedia,Iztapalapa,CDMX,-99.0642540491586,19.3391428958489,74,Periférico Interior Oriente
17,Iztapalapa,Transbordo,Iztapalapa,CDMX,-99.067599524439,19.3283774337608,74,Periférico Interior Oriente
18,Periférico Oriente/Tláhuac,Terminal / Transbordo,Iztapalapa,CDMX,-99.0745175260824,19.3176186017939,74,Periférico Interior Oriente
