1116,Progreso,STC0505,Intermedia,Gustavo A. Madero,2040.0,CDMX,-99.1589141974574,19.5259914264473,5,5,5104,STC Metro,t,
1117,Fábricas,STC0506,Intermedia,Gustavo A. Madero,2040.0,CDMX,-99.154068179484,19.5146094622948,5,6,5105,STC Anillar,t,
1118,Politécnico,STC0507,Terminal/Intermedia,Gustavo A. Madero,1982.0,CDMX,-99.1492032738994,19.5009822702074,5,7,5106,STC Metro,t,
1119,Instituto del Petróleo,STC0508,Transbordo,Gustavo A. Madero,1982.0,CDMX,-99.1447722643977,19.4893818022488,5,8,5101,STC Metro,t,
1120,Autobuses del Norte,STC0509,Intermedia,Gustavo A. Madero,1982.0,CDMX,-99.1406760972061,19.4790890761318,5,9,5097,STC Metro,t,
1121,La Raza,STC0510,Transbordo,Gustavo A. Madero,1982.0,CDMX,-99.1364295408448,19.4697087752197,5,10,5102,STC Metro,t,
1122,Misterios,STC0511,Intermedia,Gustavo A. Madero / Cuauhtémoc,1982.0,CDMX,-99.1304197700515,19.4632523178595,5,11,5103,STC Metro,t,
1123,Valle Gómez,STC0512,Intermedia,Gustavo A. Madero / Venustiano Carranza,1982.0,CDMX,-99.1194515607469,19.4588820674702,5,12,5108,STC Metro,t,
1124,Consulado,STC0513,Transbordo,Gustavo A. Madero / Venustiano Carranza,1981.0,CDMX,-99.1139260114161,19.4580955942354,5,13,5098,STC Metro,t,
1125,Eduardo Molina,STC0514,Intermedia,Gustavo A. Madero / Venustiano Carranza,1981.0,CDMX,-99.1053124726923,19.4514969971716,5,14,5099,STC Metro,t,
1126,Aragón,STC0515,Intermedia,Gustavo A. Madero / Venustiano Carranza,1981.0,CDMX,-99.0960320295883,19.4514565312433,5,15,5096,STC Metro,t,
1127,Oceanía,STC0516,Transbordo,Venustiano Carranza,1981.0,CDMX,-99.086891061182,19.4451234932664,5,16,5104,STC Metro,t,
1128,Terminal Aérea,STC0517,Intermedia,Venustiano Carranza,1981.0,CDMX,-99.0880497754406,19.4340754936451,5,17,5107,STC Metro,t,
1129,Hangares,STC0518,Intermedia,Venustiano Carranza,1981.0,CDMX,-99.088350182888,19.4243825818986,5,18,5100,STC Metro,t,
1130,Pantitlán,STC0519,Terminal / Transbordo,Venustiano Carranza,1981.0,CDMX,-99.0742524923644,19.4149825358675,5,19,5105,STC Metro,t,
1131,El Rosario,STC0601,Terminal / Transbordo,Azcapotzalco,1983.0,CDMX,-99.2001296898844,19.5047967527476,6,1,5112,STC Metro,t,
1132,Tezozómoc,STC0602,Intermedia,Azcapotzalco,1983.0,CDMX,-99.1961442171395,19.4950681881798,6,2,5118,STC Metro,t,
1133,UAM Azcapotzalco,STC0603,Intermedia,Azcapotzalco,1983.0,CDMX,-99.1864159949467,19.4908336027886,6,3,5110,STC Metro,t,
1134,Ferrería/Arena Ciudad de México,STC0604,Intermedia,Azcapotzalco,1983.0,CDMX,-99.1741714610489,19.4909228323321,6,4,5109,STC Metro,t,
1135,Norte 45,STC0605,Intermedia,Azcapotzalco,1983.0,CDMX,-99.1630755216915,19.4887666332097,6,5,5117,STC Metro,t,
1136,Vallejo,STC0606,Intermedia,Azcapotzalco,1983.0,CDMX,-99.1560588629391,19.4897375885317,6,6,5119,STC Metro,t,
1137,Instituto del Petróleo,STC0607,Transbordo,Gustavo A. Madero,1983.0,CDMX,-99.1447416935013,19.4894490118257,6,7,5113,STC Metro,t,
1138,Lindavista,STC0608,Intermedia,Gustavo A. Madero,1986.0,CDMX,-99.1348389779286,19.4880229167035,6,8,5115,STC Metro,t,
1139,Deportivo 18 de Marzo,STC0609,Transbordo,Gustavo A. Madero,1986.0,CDMX,-99.1254834328619,19.4850998881136,6,9,5111,STC Metro,t,
1140,La Villa/Basílica,STC0610,Intermedia,Gustavo A. Madero,1986.0,CDMX,-99.1184453164184,19.4817418801421,6,10,5114,STC Metro,t,
1141,Martín Carrera,STC0611,Terminal / Transbordo,Gustavo A. Madero,1986.0,CDMX,-99.1043583546495,19.4850189730923,6,11,5116,STC Metro,t,
1142,Constitución de la República,STC0612,Transbordo,Gustavo A. Madero,2040.0,CDMX,-99.0980130158054,19.4792958423357,6,12,5111,0,t,
1143,Casas Alemán,STC0613,Intermedia,Gustavo A. Madero,2040.0,CDMX,-99.0917359061451,19.4766720028807,6,13,5114,0,t,
1144,El Coyol,STC0614,Intermedia,Gustavo A. Madero,2040.0,CDMX,-99.088743771215,19.4704346343978,6,14,5116,0,t,
1145,Loreto Fabela,STC0615,Intermedia / Transbordo,Gustavo A. Madero,2040.0,CDMX,-99.080764931884,19.4675195498453,6,15,5111,0,t,
1146,Pueblo San Juan de Aragón,STC0616,Intermedia,Gustavo A. Madero,2040.0,CDMX,-99.072403648888,19.4662971137408,6,16,5114,0,t,
1147,Villa de Aragón,STC0617,Terminal / Transbordo,Gustavo A. Madero,2040.0,CDMX,-99.0614161251851,19.461610696896,6,17,5116,0,t,
1148,Bosques de América,STC0618,Intermedia,Nezahualcóyotl,2040.0,EDOMEX,-99.047216318215,19.4601109205918,6,18,5111,0,t,
1149,Peñòn Texcoco/Periférico,STC0619,Terminal / Transbordo,Nezahualcóyotl,2040.0,EDOMEX,-99.0383669563978,19.4571636126051,6,19,5114,0,t,
1150,El Rosario,STC0701,Terminal / Transbordo,Azcapotzalco,1988.0,CDMX,-99.2000224015272,19.5048169790382,7,1,5125,STC Metro,t,
1151,Aquiles Serdán,STC0702,Intermedia,Azcapotzalco,1988.0,CDMX,-99.1952680821565,19.4905948731122,7,2,5120,STC Metro,t,
1152,Camarones,STC0703,Intermedia,Azcapotzalco,1988.0,CDMX,-99.1896890873357,19.4790745788469,7,3,5123,STC Metro,t,
1153,Refinería,STC0704,Intermedia,Azcapotzalco,1988.0,CDMX,-99.1902040714343,19.4696878157945,7,4,5128,STC Metro,t,
1154,Tacuba,STC0705,Transbordo,Miguel Hidalgo,1984.0,CDMX,-99.1876585456384,19.4592284505397,7,5,5132,STC Metro,t,
1155,San Joaquín,STC0706,Intermedia,Miguel Hidalgo,1984.0,CDMX,-99.1918106051513,19.4450755603505,7,6,5130,STC Metro,t,
1156,Polanco,STC0707,Intermedia,Miguel Hidalgo,1984.0,CDMX,-99.1913418940499,19.433788756551,7,7,5127,STC Metro,t,
1157,Auditorio,STC0708,Intermedia,Miguel Hidalgo,1984.0,CDMX,-99.1918850717116,19.425069105629,7,8,5121,STC Metro,t,
1158,Constituyentes,STC0709,Intermedia,Miguel Hidalgo,1985.0,CDMX,-99.1913196850413,19.4116766567171,7,9,5124,STC Metro,t,
1159,Tacubaya,STC0710,Transbordo,Miguel Hidalgo,1985.0,CDMX,-99.1874358464127,19.4019520504727,7,10,5133,STC Metro,t,
1160,San Pedro de Los Pinos,STC0711,Intermedia,Benito Juárez,1985.0,CDMX,-99.1858050633207,19.3913464061921,7,11,5131,STC Metro,t,
1161,San Antonio,STC0712,Intermedia,Benito Juárez,1985.0,CDMX,-99.1866934181504,19.3849304050485,7,12,5129,STC Metro,t,
1162,Mixcoac,STC0713,Transbordo,Benito Juárez,1985.0,CDMX,-99.1878282054757,19.3761695673214,7,13,5126,STC Metro,t,
1163,Barranca del Muerto,STC0714,Terminal,Álvaro Obregón,1985.0,CDMX,-99.1892257896939,19.3614680962256,7,14,5122,STC Metro,t,
1164,Garibaldi/Lagunilla,STC0820,Terminal / Transbordo,Cuauhtémoc,1994.0,CDMX,-99.1386252880112,19.4440299416624,8,4,5144,STC Metro,t,
1165,Bellas Artes,STC0802,Transbordo,Cuauhtémoc,1994.0,CDMX,-99.1405672073203,19.4360272452249,8,5,5137,STC Metro,t,
1166,San Juan de Letrán,STC0803,Intermedia,Cuauhtémoc,1994.0,CDMX,-99.1414040565182,19.4316058643888,8,6,5150,STC Metro,t,
1167,Salto del Agua,STC0804,Transbordo,Cuauhtémoc,1994.0,CDMX,-99.1421658038707,19.427265307217,8,7,5149,STC Metro,t,
1168,Doctores,STC0805,Intermedia,Cuauhtémoc,1994.0,CDMX,-99.1432407150359,19.4215806579404,8,8,5142,STC Metro,t,
1169,Obrera,STC0806,Intermedia,Cuauhtémoc,1994.0,CDMX,-99.1440382560653,19.4131832958605,8,9,5148,STC Metro,t,
1170,Chabacano,STC0807,Transbordo,Cuauhtémoc,1994.0,CDMX,-99.1354685061104,19.410229491476,8,10,5139,STC Metro,t,
1171,La Viga,STC0808,Intermedia,Cuauhtémoc / Venustiano Carranza,1994.0,CDMX,-99.1262969142929,19.4067097366548,8,11,5147,STC Metro,t,
1172,Santa Anita,STC0809,Transbordo,Iztacalco,1994.0,CDMX,-99.1207386729004,19.4041024616914,8,12,5151,STC Metro,t,
1173,Coyuya,STC0810,Intermedia,Iztacalco,1994.0,CDMX,-99.1134724816772,19.3980962586063,8,13,5141,STC Metro,t,
1174,Iztacalco,STC0811,Intermedia,Iztacalco,1994.0,CDMX,-99.1122764896044,19.3886647809869,8,14,5145,STC Metro,t,
1175,Apatlaco,STC0812,Intermedia,Iztapalapa,1994.0,CDMX,-99.1094610379922,19.3788739513805,8,15,5135,STC Metro,t,
1176,Aculco,STC0813,Intermedia,Iztapalapa,1994.0,CDMX,-99.1075951274667,19.373155537432,8,16,5134,STC Metro,t,
1177,Escuadrón 201,STC0814,Intermedia,Iztapalapa,1994.0,CDMX,-99.1091944793349,19.3645495982557,8,17,5143,STC Metro,t,
1178,Atlalilco,STC0815,Transbordo,Iztapalapa,1994.0,CDMX,-99.101187847501,19.3561574386878,8,18,5136,STC Metro,t,
1179,Iztapalapa,STC0816,Intermedia,Iztapalapa,1994.0,CDMX,-99.0932470909244,19.3576550330917,8,19,5146,STC Metro,t,
1180,Cerro de la Estrella,STC0817,Intermedia,Iztapalapa,1994.0,CDMX,-99.0856847234615,19.3560250002369,8,20,5138,STC Metro,t,
1181,UAM-I,STC0818,Intermedia,Iztapalapa,1994.0,CDMX,-99.0749631423851,19.3509857671637,8,21,5152,STC Metro,t,
1182,Constitución de 1917,STC0819,Terminal,Iztapalapa,1994.0,CDMX,-99.0639848752201,19.3460302142921,8,22,5140,STC Metro,t,
1183,Pantitlán,STC0901,Terminal / Transbordo,Venustiano Carranza / Iztacalco,1987.0,CDMX,-99.0740643209682,19.4165730356563,9,1,5160,STC Metro,t,
1184,Puebla,STC0902,Intermedia,Venustiano Carranza / Iztacalco,1987.0,CDMX,-99.0825963147273,19.4072865245794,9,2,5162,STC Metro,t,
1185,Ciudad Deportiva,STC0903,Intermedia,Venustiano Carranza / Iztacalco,1987.0,CDMX,-99.0913253132371,19.4083483744006,9,3,5156,STC Metro,t,
1186,Velódromo,STC0904,Intermedia,Venustiano Carranza,1987.0,CDMX,-99.1032739083873,19.408477910064,9,4,5164,STC Metro,t,
1187,Mixhiuca,STC0905,Intermedia,Venustiano Carranza,1987.0,CDMX,-99.1132016410377,19.4083113641939,9,5,5159,STC Metro,t,
1188,Jamaica,STC0906,Transbordo,Venustiano Carranza,1987.0,CDMX,-99.1216574276342,19.4091803624274,9,6,5157,STC Metro,t,
1189,Chabacano,STC0907,Transbordo,Cuauhtémoc,1987.0,CDMX,-99.1357548124571,19.408134955847,9,7,5154,STC Metro,t,
1190,Lázaro Cárdenas,STC0908,Intermedia,Cuauhtémoc,1987.0,CDMX,-99.1446078999739,19.4072303352299,9,8,5158,STC Metro,t,
1191,Centro Médico,STC0909,Transbordo,Cuauhtémoc,1987.0,CDMX,-99.155374161044,19.4065951518246,9,9,5153,STC Metro,t,
1192,Chilpancingo,STC0910,Intermedia,Cuauhtémoc,1988.0,CDMX,-99.1686402505502,19.4059580978585,9,10,5155,STC Metro,t,
1193,Patriotismo,STC0911,Intermedia,Cuauhtémoc / Miguel Hidalgo,1988.0,CDMX,-99.1789275315095,19.4060724410427,9,11,5161,STC Metro,t,
1194,Tacubaya,STC0912,Terminal / Transbordo,Miguel Hidalgo,1988.0,CDMX,-99.1875695402014,19.401956035092,9,12,5163,STC Metro,t,
1195,Tláhuac,STC1201,Terminal,Tláhuac,2012.0,CDMX,-99.0140159985124,19.286335269562,12,1,5037,STC Metro,t,
1196,Tlaltenco,STC1202,Intermedia,Tláhuac,2012.0,CDMX,-99.0240378383297,19.2943629413199,12,2,5038,STC Metro,t,
1197,Zapotitlán,STC1203,Intermedia,Tláhuac,2012.0,CDMX,-99.0342975853966,19.2966645089286,12,3,5040,STC Metro,t,
1198,Nopalera,STC1204,Intermedia,Tláhuac,2012.0,CDMX,-99.0461331555625,19.300512857504,12,4,5031,STC Metro,t,
1199,Olivos,STC1205,Intermedia,Tláhuac,2012.0,CDMX,-99.0594851441496,19.3043100398869,12,5,5032,STC Metro,t,
1200,Tezonco,STC1206,Intermedia,Iztapalapa,2012.0,CDMX,-99.0652290120065,19.3063288023964,12,6,5036,STC Metro,t,
1201,Periferico Oriente,STC1207,Intermedia,Iztapalapa,2012.0,CDMX,-99.074748203795,19.3176795243224,12,7,5034,STC Metro,t,
1202,Calle 11,STC1208,Intermedia,Iztapalapa,2012.0,CDMX,-99.085973859863,19.3205510351843,12,8,5022,STC Metro,t,
1203,Lomas Estrella,STC1209,Intermedia,Iztapalapa,2012.0,CDMX,-99.0958014488387,19.322141985645,12,9,5028,STC Metro,t,
1204,San Andres Tomatlán,STC1210,Intermedia,Iztapalapa,2012.0,CDMX,-99.1046216071425,19.328234018533,12,10,5035,STC Metro,t,
1205,Culhuacán,STC1211,Intermedia,Iztapalapa,2012.0,CDMX,-99.1089597269873,19.3371388425345,12,11,5023,STC Metro,t,
1206,Atlalilco,STC1212,Transbordo,Iztapalapa,2012.0,CDMX,-99.1061019134688,19.3525804794927,12,12,5021,STC Metro,t,
1207,Mexicaltzingo,STC1213,Intermedia,Iztapalapa / Coyoacán,2012.0,CDMX,-99.1232282347774,19.3577790938026,12,13,5029,STC Metro,t,
1208,Ermita,STC1214,Transbordo,Benito Juárez,2012.0,CDMX,-99.1432329295833,19.3599709972403,12,14,5025,STC Metro,t,
1209,Eje Central,STC1215,Intermedia,Benito Juárez,2012.0,CDMX,-99.1513746141032,19.3612706074297,12,15,5024,STC Metro,t,
1210,Parque de los Venados,STC1216,Intermedia,Benito Juárez,2012.0,CDMX,-99.1586733464966,19.3706197367006,12,16,5033,STC Metro,t,
1211,Zapata,STC1217,Transbordo,Benito Juárez,2012.0,CDMX,-99.1650468874954,19.3707943004688,12,17,5039,STC Metro,t,
1212,Hospital 20 de Noviembre,STC1218,Intermedia,Benito Juárez,2012.0,CDMX,-99.171124585452,19.3718953055145,12,18,5026,STC Metro,t,
1213,Insurgentes Sur,STC1219,Intermedia,Benito Juárez,2012.0,CDMX,-99.1787522747317,19.373446964157,12,19,5027,STC Metro,t,
1214,Mixcoac,STC1220,Terminal / Transbordo,Benito Juárez,2012.0,CDMX,-99.187765267064,19.376148322466,12,20,5030,STC Metro,t,
1215,Valentín Campa,STC1221,Transbordo,Álvaro Obregón,2040.0,CDMX,-99.1999126538553,19.3818990411062,12,21,5031,STC Metro,t,
1216,Álvaro Obregón,STC1222,Transbordo,Álvaro Obregón,2040.0,CDMX,-99.1967781978604,19.3905719246764,12,22,5032,STC Metro,t,
1217,Observatorio,STC1223,Terminal / Transbordo,Álvaro Obregón,2040.0,CDMX,-99.2003668015255,19.3982307122054,12,23,5033,STC Metro,t,
1218,Pantitlán,STCLA01,Terminal / Transbordo,Iztacalco,1991.0,CDMX,-99.0743706406035,19.4151465778376,10,1,5171,STC Metro,t,
1219,Agrícola Oriental,STCLA02,Intermedia,Iztacalco,1991.0,CDMX,-99.0694725271555,19.4046293186097,10,2,5166,STC Metro,t,
1220,Canal de San Juan,STCLA03,Intermedia,Iztacalco,1991.0,CDMX,-99.0594678698527,19.3989526647414,10,3,5167,STC Metro,t,
1221,Tepalcates,STCLA04,Intermedia,Iztapalapa,1991.0,CDMX,-99.0462846495159,19.3912851814268,10,4,5174,STC Metro,t,
1222,Guelatao,STCLA05,Intermedia,Iztapalapa,1991.0,CDMX,-99.0357990018166,19.3854241245665,10,5,5168,STC Metro,t,
